Date,Close,High,Low,Open,Volume
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
2024-08-29,4391.16796875,4434.186384963214,4340.753133655824,4340.753133655824,2133641
2024-08-30,4431.99658203125,4469.467209186497,4367.809694255397,4379.683693470354,3637222
2024-09-02,4400.1708984375,4465.3310523365635,4391.363057572488,4453.651895268552,1216500
2024-09-03,4391.7041015625,4434.089521959663,4375.693732539286,4400.171205892764,1717263
2024-09-04,4359.48876953125,4367.031558606177,4318.076614442584,4357.2504544768835,1265505
2024-09-05,4356.27734375,4378.710869047752,4335.059922151713,4361.192132518999,1688793
2024-09-06,4337.59033203125,4398.127487096703,4321.288175064509,4354.330647484562,1649179
2024-09-09,4330.58251953125,4370.194516721649,4312.042048067538,4335.886993373408,1184938
2024-09-10,4387.32421875,4418.566059720872,4321.726379982499,4323.672906208396,1385591
2024-09-11,4359.5859375,4427.714350991207,4351.702411750798,4400.560406944931,1325919
2024-09-12,4396.91064453125,4411.412168843484,4312.820337338025,4389.659644762085,2742216
2024-09-13,4401.6796875,4425.427211535814,4384.550162297965,4408.881739225256,1458786
2024-09-16,4392.57958984375,4424.502428733946,4374.282434055048,4405.961957175573,1155120
2024-09-17,4385.1826171875,4414.526403441052,4346.592831851415,4392.579511498746,1699364
2024-09-18,4229.947265625,4376.812570238127,4205.469794060498,4376.812570238127,2961779
2024-09-19,4181.2841796875,4303.964278803147,4167.3177591316635,4272.673489899867,2927551
2024-09-20,4170.3349609375,4214.91069604027,4114.469754058897,4201.479380128484,5447908
2024-09-23,4154.3740234375,4194.1803937919585,4139.28844364055,4185.031814637753,1702319
2024-09-24,4157.0986328125,4176.272106636524,4126.635686818658,4137.974107280845,3012026
2024-09-25,4160.45654296875,4174.909595418056,4126.63564938008,4138.655544017252,2713073
2024-09-26,4177.73193359375,4201.382037268312,4146.10088226194,4146.10088226194,3964251
2024-09-27,4193.49853515625,4260.945471882041,4185.079429911023,4219.095162313533,3012477
2024-09-30,4154.3740234375,4183.81523562187,4146.1497591996595,4172.281971506063,2503416
2024-10-01,4173.2548828125,4180.895093433227,4129.506990226057,4141.769725491171,1823365
2024-10-03,4119.5791015625,4164.592516823799,4097.437367569104,4148.631098133119,3350119
2024-10-04,4138.55810546875,4183.084893245855,4111.111895371425,4112.036685426649,2965463
2024-10-07,4158.60693359375,4182.35445591413,4116.318465858437,4159.628669660445,1472619
2024-10-08,4139.53125,4164.981984834868,4091.549569609051,4158.363985893398,1541867
2024-10-09,4139.2392578125,4180.164778769149,4133.156363780531,4146.100572190123,1082504
2024-10-10,4114.3720703125,4179.045589254719,4086.3422849186436,4139.531014880948,2378875
