Date,Close,High,Low,Open,Volume
,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
2024-01-01,2582.168701171875,2596.4180727915214,2565.87664890909,2591.0200006711034,526353
2024-01-02,2542.338134765625,2581.3903292444625,2535.7240008873423,2575.6030511506265,1310629
2024-01-03,2535.286376953125,2556.733572425251,2524.587119457946,2527.94274817919,1008270
2024-01-04,2521.669189453125,2551.2866326053518,2517.2922203922312,2535.286426531461,1376844
2024-01-05,2548.417236328125,2557.9977924269497,2524.0520619937615,2524.0520619937615,1150738
2024-01-08,2507.76025390625,2554.204761663071,2496.3315006886032,2553.1834213291886,1189828
2024-01-09,2509.21923828125,2518.216341858768,2501.2434750354178,2511.9427333438175,1017205
2024-01-10,2506.933349609375,2523.3714432076704,2494.8724627096826,2509.4623601524295,881278
2024-01-11,2466.859619140625,2518.2161016145606,2462.628691692687,2509.4621638337453,2399600
2024-01-12,2474.446533203125,2485.145791011786,2443.175615594119,2464.233605294857,2979841
2024-01-15,2502.84814453125,2508.246453902896,2461.801948551907,2476.391845520804,1391204
2024-01-16,2498.8603515625,2513.936578247694,2486.4589392891958,2502.8481142062196,1599406
2024-01-17,2492.829833984375,2501.048999687542,2470.312853448557,2479.3099570589116,3047652
2024-01-18,2478.337158203125,2499.7356736978145,2468.1729108363015,2499.7356736978145,1273095
2024-01-19,2495.26123046875,2503.5775188337507,2462.774489768534,2494.8722615546167,1323064
2024-01-23,2310.60205078125,2412.6826499783715,2300.7780917494733,2383.9891856871554,4369332
2024-01-24,2374.89453125,2379.028335096376,2302.4313814723478,2322.7114317991063,1551469
2024-01-25,2361.90966796875,2400.5242117258076,2354.031029175731,2387.6851507931965,2364765
2024-01-29,2377.5693359375,2382.0436656571715,2344.109936395991,2344.109936395991,1587091
2024-01-30,2391.429931640625,2426.348561076714,2380.3903853468933,2386.907158539237,1793711
2024-01-31,2413.7041015625,2417.9350294363176,2374.992191986387,2383.016635759864,1445004
2024-02-01,2405.97119140625,2442.8835804869746,2400.8647278485996,2407.4301809941503,1727534
2024-02-02,2385.545654296875,2418.9076973358888,2375.235364852153,2409.278459761991,1956115
2024-02-05,2353.350341796875,2397.363196918309,2346.7848882704734,2396.633702082042,1315445
2024-02-06,2360.01318359375,2374.6030804878965,2351.9400598191687,2358.651317404168,1557511
2024-02-07,2359.1376953125,2373.192582113411,2345.61781890175,2373.192582113411,1149076
2024-02-08,2350.967529296875,2375.0408604959157,2333.410971575731,2375.0408604959157,1758661
2024-02-09,2357.873046875,2362.0555313089367,2340.3167282938484,2350.967305103393,886474
2024-02-12,2320.42578125,2363.4175348340646,2316.8756679290295,2357.824740925336,1292460
2024-02-13,2328.54736328125,2335.3073008235233,2315.0274881967025,2324.656724411941,957865
2024-02-14,2322.662841796875,2328.5474808770396,2305.2036464822822,2319.7935429790055,1397975
2024-02-15,2286.577392578125,2319.501784426025,2282.589392400023,2303.5989391284606,2553695
2024-02-16,2310.310302734375,2316.8757567048865,2293.1429514126107,2305.155158049558,2363302
2024-02-19,2321.884521484375,2329.4713146820136,2308.899656892679,2324.170366779078,576683
2024-02-20,2338.371337890625,2342.602265211362,2303.452711313064,2305.30090726846,1032995
2024-02-21,2341.28955078125,2356.5602624821377,2328.644973104654,2338.37157131742,1127778
2024-02-22,2322.808837890625,2354.128434265619,2301.0697975486364,2354.128434265619,2258516
2024-02-23,2328.64501953125,2339.7332467285605,2318.772379668994,2323.2467099223823,1210775
2024-02-26,2338.517333984375,2340.7544990269375,2314.9303337351826,2325.726952546895,831596
